model,result
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings"
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings"
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley, Dr. Amanda Lewis"
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Carla Jennings"
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings"
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings"
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings"
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley, Dr. Amanda Lewis"
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Carla Jennings"
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings"
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings"
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings"
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley, Dr. Amanda Lewis"
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Carla Jennings"
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings"
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings"
